DlangUI log file
2026-03-05 11:51:45.365 D  registerFont(SansSerif,Lucida Sans Unicode)
2026-03-05 11:51:45.365 D  registerFont(SansSerif,Lucida Sans Unicode)
2026-03-05 11:51:45.366 D  registerFont(SansSerif,Lucida Sans Unicode)
2026-03-05 11:51:45.366 D  registerFont(SansSerif,Lucida Sans Unicode)
2026-03-05 11:51:45.366 D  registerFont(SansSerif,Malgun Gothic)
2026-03-05 11:51:45.366 D  registerFont(SansSerif,Malgun Gothic)
2026-03-05 11:51:45.366 D  registerFont(SansSerif,Malgun Gothic Semilight)
2026-03-05 11:51:45.366 D  registerFont(SansSerif,Malgun Gothic Semilight)
2026-03-05 11:51:45.366 D  registerFont(SansSerif,Malgun Gothic Semilight)
2026-03-05 11:51:45.366 D  registerFont(SansSerif,Malgun Gothic Semilight)
2026-03-05 11:51:45.366 D  registerFont(SansSerif,Malgun Gothic Semilight)
2026-03-05 11:51:45.366 D  registerFont(SansSerif,Malgun Gothic Semilight)
2026-03-05 11:51:45.366 D  registerFont(SansSerif,Malgun Gothic Semilight)
2026-03-05 11:51:45.367 D  registerFont(SansSerif,Malgun Gothic Semilight)
2026-03-05 11:51:45.367 D  registerFont(SansSerif,Malgun Gothic Semilight)
2026-03-05 11:51:45.367 D  registerFont(SansSerif,Malgun Gothic Semilight)
2026-03-05 11:51:45.367 D  registerFont(SansSerif,Malgun Gothic Semilight)
2026-03-05 11:51:45.367 D  registerFont(SansSerif,Malgun Gothic Semilight)
2026-03-05 11:51:45.367 D  registerFont(SansSerif,Microsoft Himalaya)
2026-03-05 11:51:45.367 D  registerFont(SansSerif,Microsoft JhengHei)
2026-03-05 11:51:45.367 D  registerFont(SansSerif,Microsoft JhengHei)
2026-03-05 11:51:45.367 D  registerFont(SansSerif,Microsoft JhengHei)
2026-03-05 11:51:45.367 D  registerFont(SansSerif,Microsoft JhengHei UI)
2026-03-05 11:51:45.367 D  registerFont(SansSerif,Microsoft JhengHei UI)
2026-03-05 11:51:45.367 D  registerFont(SansSerif,Microsoft JhengHei UI)
2026-03-05 11:51:45.367 D  registerFont(SansSerif,Microsoft JhengHei Light)
2026-03-05 11:51:45.367 D  registerFont(SansSerif,Microsoft JhengHei Light)
2026-03-05 11:51:45.367 D  registerFont(SansSerif,Microsoft JhengHei Light)
2026-03-05 11:51:45.367 D  registerFont(SansSerif,Microsoft JhengHei UI Light)
2026-03-05 11:51:45.368 D  registerFont(SansSerif,Microsoft JhengHei UI Light)
2026-03-05 11:51:45.368 D  registerFont(SansSerif,Microsoft JhengHei UI Light)
2026-03-05 11:51:45.368 D  registerFont(SansSerif,Microsoft New Tai Lue)
2026-03-05 11:51:45.368 D  registerFont(SansSerif,Microsoft PhagsPa)
2026-03-05 11:51:45.368 D  registerFont(SansSerif,Microsoft Sans Serif)
2026-03-05 11:51:45.368 D  registerFont(SansSerif,Microsoft Sans Serif)
2026-03-05 11:51:45.368 D  registerFont(SansSerif,Microsoft Sans Serif)
2026-03-05 11:51:45.368 D  registerFont(SansSerif,Microsoft Sans Serif)
2026-03-05 11:51:45.368 D  registerFont(SansSerif,Microsoft Sans Serif)
2026-03-05 11:51:45.368 D  registerFont(SansSerif,Microsoft Sans Serif)
2026-03-05 11:51:45.368 D  registerFont(SansSerif,Microsoft Sans Serif)
2026-03-05 11:51:45.368 D  registerFont(SansSerif,Microsoft Sans Serif)
2026-03-05 11:51:45.368 D  registerFont(SansSerif,Microsoft Sans Serif)
2026-03-05 11:51:45.368 D  registerFont(SansSerif,Microsoft Sans Serif)
2026-03-05 11:51:45.368 D  registerFont(SansSerif,Microsoft Tai Le)
2026-03-05 11:51:45.369 D  registerFont(SansSerif,Microsoft YaHei)
2026-03-05 11:51:45.369 D  registerFont(SansSerif,Microsoft YaHei)
2026-03-05 11:51:45.369 D  registerFont(SansSerif,Microsoft YaHei)
2026-03-05 11:51:45.369 D  registerFont(SansSerif,Microsoft YaHei)
2026-03-05 11:51:45.369 D  registerFont(SansSerif,Microsoft YaHei)
2026-03-05 11:51:45.369 D  registerFont(SansSerif,Microsoft YaHei)
2026-03-05 11:51:45.369 D  registerFont(SansSerif,Microsoft YaHei UI)
2026-03-05 11:51:45.369 D  registerFont(SansSerif,Microsoft YaHei UI)
2026-03-05 11:51:45.369 D  registerFont(SansSerif,Microsoft YaHei UI)
2026-03-05 11:51:45.369 D  registerFont(SansSerif,Microsoft YaHei UI)
2026-03-05 11:51:45.369 D  registerFont(SansSerif,Microsoft YaHei UI)
2026-03-05 11:51:45.369 D  registerFont(SansSerif,Microsoft YaHei UI)
2026-03-05 11:51:45.369 D  registerFont(SansSerif,Microsoft YaHei Light)
2026-03-05 11:51:45.369 D  registerFont(SansSerif,Microsoft YaHei Light)
2026-03-05 11:51:45.369 D  registerFont(SansSerif,Microsoft YaHei Light)
2026-03-05 11:51:45.370 D  registerFont(SansSerif,Microsoft YaHei Light)
2026-03-05 11:51:45.370 D  registerFont(SansSerif,Microsoft YaHei Light)
